,뉴스,
N1,earth라는 별에서 온 종족이 스스로를 little brothers라 부르며 유토피아에 도착했습니다.,The race from the planet <Earth> has just arrived at <Utopia>. They call themselves 'Little Brothers'.
N2,이제 유토피아에는 총 6개의 종족이 있게 되었습니다.,"Now, there are six races in <Utopia>."
N3,little brothers는 뛰어난 과학기술을 가지고 있습니다. 이제 그들이 유토피아 연합의 일원으로 의무를 짊어질 것인지 투표합니다.,"Little Brothers' has excellent science technology. Now, citizens go ahead and vote on whether or not 'Little Brothers' have a duty as member of 'the Utopia Union'."
N4,리틀브라더는 유토피아에 도착한지 얼마되지 않아 낯선 환경에 적응하기 위해 도움이 필요할 것 같습니다.,"Little Brothers' arrived only a few days ago. So, citizens should help them adapt themselves to this new surroundings."
N5,종족이 늘어난 만큼 유토피아 연합의 통제력이 강화되야 한다는 의견이 있습니다.,"There are some opinions that as the population grew, 'the Utopia Union' should be strengthened."
N6,유토피아는 평화롭지만 그 이면엔 엄청난 노력이 있었습니다. 비둘기족이 리틀브라더를 위해 임시보호 제안을 했습니다.,"Behind the peaceful <Utopia>, there were various efforts of citizens. 'Pigeons' has made a proposal of temporary protection for 'Little Brothers'."
N7,유토피아 연합이 거둬들인 세금을 어떻게 쓰일지 결정하는 중요한 순간이 왔습니다.,It's time to make a decision how 'the Utopia Union' uses the taxes.
N8,"지적 생명체만이 문명, 문화, 예술을 탄생시킬 수 있습니다. 유토피아 연합은 그것을 원하고 있습니다.","Only intelligent lives can create civilization, culture, and art. 'The Utopia Union' want to do that."
N9,지적 생명체만이 과학과 기술을 발전시킬 수 있습니다. 유토피아 연합의 방향을 정할 때입니다.,Only intelligent lives can develop science and technology. 'The Utopia Union' should set their future policies.
N10,"서로 다른 생체적 특징 탓에 우리는 거주 구역을 나누어왔습니다. 하지만, 과학 기술은 우리가 공존할 수 있는 환경을 만들었습니다.","Because of the different biological characteristics, citizes had been divided up the residential areas. However, technology has improved to an environment where we can coexist."
N11,무기는 공격을 위한 것이지만 방어를 위한 것이기도 합니다. 신체적 능력 차이를 극복하고 밸런스를 맞추는 키가 될 수 있습니다.,Weapon is not only a tool for an attack but also a defense. It can be a key to overcome physical differences and make a balance.
N12,자율적인 은하탐사는 분쟁을 야기해서 금지되어 왔습니다.,Private galaxy exploration has been legally prohibited because it causes serious conflicts.
N13,유토피아 광물을 채굴하는 것은 가장 기본적인 업무이자 효율적인 업무입니다. 다만 광물의 성분이 어떤 종족에게는 굉장히 해로울 수 있습니다.,"Generally, the mining of <Utopia> minerals is both basic and efficient task. However, minerals can be very harmful to some races."
N14,지역 경계가 해제되어 종족 간 교류가 생겨났습니다.,"All of boundaries were lifted, and inter-racial exchanges occurred."
N15,각 종족의 힘이 우세해지며 연합의 통제력이 약화되었다는 견해가 있습니다.,"As the power of each race has become stronger, so, there are some views that 'the Union' has lost control."
N16,자원으로 가득한 주인이 없는 별이 발견되고 있습니다.,Unknown planets with a full of resources are being discovered.
N17,전기가 풍족한 개체와 전기가 부족한 개체의 격차가 문제시되고 있습니다.,The gap between the power-rich and power-hungry is being challenged.
N18,거대한 모래폭풍에 의해 많은 주거지가 파괴되었습니다. ,Many houses of citizen were destroyed by a massive sandstorm.
N19,"지원금이 모였으며 이를 미래를 위해 사용할지, 현재를 위해 사용할지 투표가 진행됩니다.","Whether to use the support fund for the future or the present, it will be voted on. "
N20,연합에서는 더 많은 에너지를 원합니다. 돈을 보상하여 전기를 모으려는 정책을 투표합니다.,The Union' needs more energy. Vote for the policy to collect power by rewarding money.
N21,"유토피아에서, 당신은 더 건강한 삶을 살고 싶습니까, 아니면 편의를 위해 기계적 기술을 연구하고 싶습니까?"," In <Utopia>, Would you like to increase the life healthier or to research the mechanical technologies for convenience?"
N22,전기가 부족한 사람들이 식량을 구매하는 데 전기가 사용되는 것에 대해 불만을 가지고 연합차원에서 식량을 제공해주길 원합니다.,The power-poor is hard to buy any food. They want 'the Union' to provide food for the welfare of them.
N23,유토피아 연합은 유전자 조작에 대한 위험성을 위해 그동안 생체데이터 수집을 금지해왔습니다. 이제 회복율을 높이기 위해 데이터화하려고합니다.,"The Utopia Union' has warned of the dangers of genetic manipulation, and so far it has prohibited the collection of citizens' biological data. Now, we're going to try to get data to boost recovery."
N24,집단 지성에 의한 더많은 로봇 기술의 발전을 위해 민간의 참여를 허가하고자 한다. ,The Union' would allow civil involvement for the development of more robotic technologies by collective intelligence.
N25,부의 불균형에 대해 반발하는 시위가 발생합니다. ,Protests are brewing everywhere against the wealth imbalance.
N26,재난으로 인해 식량 공급이 어려워졌습니다. 이에 대해 긴급 제안으로 종족 간 사체를 식량으로 사용하자는 제안이 나왔습니다.,"Because of terrible disasters, food supplies have become difficult for citizens. As an urgent suggestion, someone insists on using inter-racial bodies as food."
N27,로봇은 어느새 하나의 개체처럼 활동하고 주인을 잃은 로봇이 스스로를 독립된 개체로 인정해 달라고 요구합니다.,Robots are already working as independent individuals. The stray robots ask the Union to recognize them as a citizen of <the Utopia>.
N28,유토피아의 자원이 고갈되었습니다. 연합은 한 번더 자금을 걷어 예산을 확보하고자 합니다.,The resources of <Utopia> are exhausted. 'The Union' needs to raise money from the citizens once again to secure a budget.
N29,시민들은 정치 참여를 위해 전력이 필요합니다. 연합은 전력 공급을 늘리고 비용을 절감하기 위하여 시민들에게 자동으로 세금을 거두어야 합니다.,Citizens need power to participate in politics. 'The Union' should automatically tax the citizens to increase power supplies and cut costs.
N30,"다음 재난을 예방하기 위해서 식량의 공급, 주거지 방어, 에너지 공급 등 기능을 하는 재난 복구 기관에 대한 논의가 이루어지고 있습니다.","To prevent future disasters, we are discussing ‘Disaster recovery system’ that serve as food supply, shelter defense, and energy supply."
N31,"척박한 환경 속에서도, 예술가들은 예술을 통해 존재의 이유를 증명합니다. 예술은 각 시민들에게 살아가는 원동력이 될 것입니다. ","Even in poor environments, artists prove their reasons for being through art. Art will be the driving force of life for each citizen."
N32,유토피아에 심각한 전염병이 발생했습니다.,There was a serious communicable disease in <Utopia>.
N33,유토피아 종족의 일원으로서 리틀브라더의 정체성은 그들의 후손들에게도 영향을 미칠 것입니다. 그들의 과거를 보존하는 일은 필요한 활동입니다. ,The identity of 'Little Brothers' as a member of 'the Utopia Union' will also affect their descendants. Preserving their past is necessary activity.
N34,"시민들은 외부의 침략, 소행성 충돌 등로부터 보호받기 위한 강력한 방어 시스템이 필요합니다. ","Citizens need a strong defense system to protect themselves from external asteroids, invaders, so on."
N35,"더 이상의 피해를 방지하기 위해, 자원한 시민들의 의학 실험을 통한 연구가 필요하다는 의견이 있습니다. ","To prevent further damage, there are some opinion that medical laboratories need to experiment with life. We are recruiting volunteers."
N36,다수결이 항상 옳은 것은 아닙니다. 더 현명한 정책과 사회 발전을 위해 똑똑한 소수가 투표 자격을 가지는 것이 낫지 않을까요?,The majority decision is not always right. Wouldn't it be better for a few smarter citizens to vote for good policies and social development?
N37,더 많은 발전소를 건설하여 집안에 전력을 공급하십시오. ,Build more power generators to power your home.
N38,전염병이 퍼지는 것을 막을 수 있는 것은 아무것도 없었다. 연합은 격리 수용만이 감염되지 않은 시민들을 구할 수 있는 유일한 방법이라고 결정했다.,Nothing couldn't stop a communicable disease to spread. 'The Union' decided the quarantine was the only way to save uninfected citizens.
N39,연합은 세금으로 운영되고 있습니다. 언제나 더 많은 세금을 걷자는 의견과 세금을 낮춰야한다는 의견이 대립합니다.,The Union' is operating on taxes. There are always conflicts of opinion between collecting more taxes and lowering them.
N40,연합'은 나머지 예산을 즉시 시민들에게 분배할 것인지 아니면 다른 방식으로 나누어 줄 것인지를 고려하고 있다.,The Union' is considering whether to distribute the rest of the budget immediately or in a different way to citizens.
N41,유토피아 외부에서 무언가 접근해오는 것을 감지했습니다.,"Protecting  system' detected something, coming for <Utopia>. "
N42,<유토피아>에 접근하는 것은 다른 은하계의 침입자입니다. 그들이 왜오고 있는지에 대한 대답이 없습니다.,What approaching to <Utopia> is invaders from another galaxy. There is no answer of them for why they are coming.
N43,옆 은하에서 온 침입자들과 교신에 성공했습니다. 그들의 별은 전쟁을 겪어 폐허가 되었고 피난을 왔습니다.,"We were able to communicate with invaders from another galaxy. Their planet was devastated by the war. So, they evacuated to <Utopia>."
N44,새로운 뱀 종족이 유토피아 환경에 적응할 수 있도록 특별 관리를 합니까? 많은 예산이 투입됩니다.,Does it need some special treatments to help the new race 'Snakes' adapt to <Utopia>? It costs lots of money.
N45,정책적으로 지금까지 유토피아는 외부인들을 받아 왔습니다. 그것이 주변 은하에서도 알려져있어서 계속해서 접근하고자 합니다.,"Politically, <Utopia> has received neighbor galaxies's immigrants until now. So, they are willing to keep moving to here."
N46,로봇들은 스스로를 업그레이드하고 무기를 만들며 발전해왔습니다. 이제 그들은 뛰어난 지능으로 유토피아를 이끌어 가겠다고 주장합니다. ,"Robots have evolved to upgrade themselves and build weapons. Now, they insist on leading Utopia with their outstanding intelligence."
N47,급격한 발전과 황폐화된 환경으로 인해 유토피아의 식량과 자원 모두 부족한 상황입니다. 연합 차원에서 은하 탐사 프로젝트를 진행하려고 합니다.,"Due to rapid industrialization and environmental degradation, foods and resources of <Utopia> is lack. 'The Union' try to start a new galaxy exploration project."