다른인간,비둘기종족,바퀴벌레족,코끼리족,고양이족,오리너구리족,뱀족,로봇
인간의 입장에서말함,"보수적, 문화예술","가난한 하층민, 일베","환경운동가, 자유주의",진보적,과학주의,"무정부주의자, 테러,",
도움을 받는 것이 좋지 않을까?,우리는 언제든 도와줄 준비가 되어있어!,척박한 환경에서 보호는 필수적인 것,리틀브라더는 나약해 보여,보호라는 이름의 지배.,리틀브라더는 좋은 기술자들이 될거야.,관심 없다.,
그들을 믿어도 되는걸까?,비둘기 종족이야 말로 새 구성원의 안정을 위해 적합하지,척박한 환경에서 보호는 필수적인 것,리틀브라더는 관리가 필요해보여,평화 그리고 위선.,,돈에 눈먼 쓰레기들,
,문화 예술이야 말로 존재의 의미를 되찾게 만든다.,척박한 환경,예산을 별의 생명력에 썼으면 해,,눈에 보이지 않는 것에 돈쓰지마 !!,돈을 어디에 쓰려는 거야?,
,종족 교류야 말로 유토피아가 존재해온 근거가 아닌가!,종족 교류야 말로 유토피아의 이상,,모든 물감을 섞으면 검정이 된다.,,획일화 절대 반대.,
자리 잡지 못했기 때문에 아직은 벽이 필요하지 않을까?,자치구역 해제는 위험한 발상입니다 여러분. ,(비둘기 리트윗),규제가 없으면 모든 것이 파괴될지 몰라,자유를 제한하는 여러가지 방식들.,,보호를 걷어내려는 세력. 당하지 않는다 우리는,
,유토피아의 평화를 위해!,(비둘기 리트윗),,모든 것을 으깨서 하나로 뭉쳐버리려는 시도,,모집중! 연합체를 습격할 요원,
,유토피아 내의 전쟁은 안돼!,(비둘기 리트윗),싸움은 모든 걸 파괴한다...절대 안돼..,우리는 스스로를 방어할 수 있어야 해,"무기 개발 자유는 더 큰 과학기술의 진보를 만들거야, 난 좋아",무기는 최고의 방어,
,통합은 더 큰 결과를 만들어내지!,(비둘기 리트윗),,통합이라는 이름의 지배.,쓸데 없는 것에 돈을 쓰지마!!,정신을 지배하는 수단.,
우리를 고유한 종족으로 인정해주려는 걸까?,각 종족의 역사는 보존되어야 합니다.,(비둘기 리트윗),,왜곡. 거짓.,과거가 아닌 미래에 돈을 써야해,유토피아를 한 방에 터트려버릴 수 없을까?,
,유토피아 연합을 위해!,(비둘기 리트윗),,통제는 자발적인 교류를 막는다.,,자유를 쟁취하는 법은 혁명 뿐,
,사회의 혼란을 낳을 수 있습니다. 이런 법안은 폐기되어야 합니다.,새로운... 유토피아 족의 탄생.....,연합은 하나의 생태계입니다. 무분별한 외래종의 접촉은 생태계를 파괴합니다. ,"이건 당연한 거야, 모든 것을 제한할 수는 없어. 사랑도, 자유도","서로 다른 종들의 결합은 개체를 만들어내지 못하지, 허나... ",SOON..,
,언제나 유토피아는 열려있습니다!,(비둘기 리트윗),어떤 문제를 야기할 지 모르잖아! 반대해!,"의심스러워, 그들은 누굴까?",주의! 엄청난 질병을 몰고 다닌다는 소문이 있음.,Ready?,
,안정된 유토피아를 위해!,(비둘기 리트윗),,현재의 구조가 고정되는 것을 기대하는 자들.,더 건강해지는 것은 외부자극에 노출되는 것,,
투표를 위한 기본 소양 수준이라는 것은 어느 정도일까?,교양 있는 사람만이 올바른 표를 던질 수 있습니다,(비둘기 리트윗),,,,이제 뒤엎을 때가 온 건가.,
인정받기 위해 희생이 따르는 것일끼?,노동과 납세는 신성한 것입니다!,(비둘기 리트윗),,,과학을 발전시키는 것에는 자본이 필요하다.,의무라는 이름의 구속,
,모두를 위한 복지정책,(비둘기 리트윗),,포퓰리즘!,돈은 기술의 진보를 낳는다.,,
,투표는 신성한 것입니다.,(비둘기 리트윗),,투표를 거부하는 것도 하나의 권리,벌금을 통해 더 많은 세금을 거둬들일 수 있겠지.,스크린을 부순다면?,
,아껴 모아 더 큰 것을!,(비둘기 리트윗),개발은 파괴를 낳습니다,,더 많은 전기를!,개인의 자산을 약탈하는 거냐!,
전기를 아껴서 보상받으려는 개체들이 있을까?,남는 전기 회수는 당연한 것입니다. 게다가 보상을 주다니,보상을 받을 수 있어,,자원 고갈로 너무 살기 힘들기 때문에 연합에서 분배하는 것이 필요합니다!,적은 보상을 주더라도 모인 전기의 가치는 어마어마해,어차피 필요없는 투표를 버리고 자원을 축적할 수 있어,
,자 이제 보다 더 공평한 유토피아 세계가 펼쳐집니다.,공정해,,전기가 없어서 투표도 못하는 개체들이 점점 많아지고 있어!,에너지를 낭비하는 바보같은 정책,FUCK 유토피아,
,,,,,,,
,,,,위험한 일을 주로 하는 건 거의 [바퀴벌레 족]인데,,권력으로부터의 해방! 자본으로부터의 해방!,
BAN_LIKE,BAN_LIKE,BAN_LIKE,BAN_LIKE,BAN_LIKE,BAN_LIKE,BAN_LIKE,BAN_LIKE
         ,연합이 개개인을 저장하고 보호하게 됩니다.,,,생체정보 유출 정책을 주의하자!,생체 정보 데이터를 통해 의료 기술이 발전될거야.,,
,,,무분별한 생체실험을 반대한다!!,,생체 실험은 안전을 위해 가장 확실한 방법,,
,,,,먹고 살기도 힘든데 과학 기술이 무슨 의미,과학 기술을 발전 시키기 위해서 지원은 필수적입니다.,Hell Utopia,
,,,어떠한 개발도 유토피아를 황폐화 시킵니다,굶주리고 있는 개체를 위해 식량 산업에 투자해야 합니다,무한한 우주의 세계로!,,
,민간에 허가는 무분별한 개발을 낳을 수 있음,,,,로봇사업의 허가로 광활한 자동화세계가 펼쳐진다!,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,모두를 위한 선택!,(비둘기 리트윗),,,,,
,질병을 퇴치하는 연합체!,(비둘기 리트윗),백신의 부작용을 확인하는 것이 우선,안전을 위해!,의료를 위해!,쓸데 없는 짓!,